Pond	Group	Temperature	Treatment	Chemical	Start	End	Type	Post_sum	Year	K	KDD
D6	CONTROL	0°„C	CONTROL	NONE	1.5	1.112	Fine	533.3838903	2022	0.009353279	0.000561144
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.5	1.089	Fine	545.8326823	2022	0.010006415	0.000586636
E3	UR	0°„C	UR	UR	1.5	1.051	Fine	521.7631767	2022	0.011116344	0.000681771
F11	CONTROL	0°„C	CONTROL	NONE	1.5	1.008	Fine	568.2869897	2022	0.012421779	0.000699465
F5	CONTROL	0°„C	CONTROL	NONE	1.5	0.842	Fine	542.8869125	2022	0.018045012	0.001063648
F9	RU	0°„C	RU	RU	1.5	1.012	Fine	566.6371707	2022	0.012298017	0.000694512
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.5	0.968	Fine	689.654402	2022	0.013687134	0.000635084
G6	UR+RU	0°„C	UR+RU	UR+RU	1.5	0.894	Fine	541.2893702	2022	0.016172332	0.000956078
G8	CONTROL	0°„C	CONTROL	NONE	1.5	0.923	Fine	555.7136347	2022	0.015174724	0.000873815
H11	4°„C	4°„C	4°„C	NONE	1.5	0.856	Fine	676.2974721	2022	0.017529688	0.000829443
H2	UR+RU	0°„C	UR+RU	UR+RU	1.5	1.088	Fine	535.7892796	2022	0.010035124	0.000599347
H4	4°„C	4°„C	4°„C	NONE	1.5	1.091	Fine	688.2539508	2022	0.009949075	0.000462577
