Pond	Group	Temperature	Treatment	Chemical	Ammonia	Weight	Type	Dosing	K	Sum	KDD	Temp
A2	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.161	FineA	Post	0.008005731	536.7335952	0.000477301	0
A9	2°„C	2°„C	NONE	NONE	Ammonia	0.805	FineA	Post	0.019449316	491.2156696	0.001267016	2
B11	2°„C	2°„C	NONE	NONE	Ammonia	1.058	FineA	Post	0.010908899	621.953428	0.000561272	2
B12	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.893	FineA	Post	0.016207306	546.4831085	0.000949039	0
B2	UR	0°„C	UR	UR	Ammonia	1.114	FineA	Post	0.009297124	524.648602	0.000567061	0
B8	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.023	FineA	Post	0.011960176	448.3988604	0.000853538	0
C1	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.963	FineA	Post	0.013848968	553.2492177	0.000801026	0
C10	4°„C	4°„C	4°„C	NONE	Ammonia	0.888	FineA	Post	0.01638277	687.9237416	0.000762074	4
C12	RU	0°„C	RU	RU	Ammonia	1.021	FineA	Post	0.01202133	569.2269491	0.000675798	0
C2	2°„C	2°„C	NONE	NONE	Ammonia	1.107	FineA	Post	0.009494108	621.913309	0.000488511	2
C4	8°„C	8°„C	NONE	NONE	Ammonia	0.704	FineA	Post	0.023638813	785.9408731	0.000962467	8
C5	2°„C	2°„C	NONE	NONE	Ammonia	1.095	FineA	Post	0.009834711	622.4863337	0.000505571	2
D10	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.935	FineA	Post	0.014771058	558.5367533	0.000846272	0
D11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	1.078	FineA	Post	0.010323676	689.3842741	0.000479207	4
D2	4°„C	4°„C	4°„C	NONE	Ammonia	1.002	FineA	Post	0.012608347	686.6259892	0.000587608	4
D3	6°„C	6°„C	NONE	NONE	Ammonia	0.993	FineA	Post	0.012890304	753.3781184	0.00054752	6
D5	UR	0°„C	UR	UR	Ammonia	0.91	FineA	Post	0.015617993	551.6865593	0.000905905	0
E12	UR	0°„C	UR	UR	Ammonia	1.035	FineA	Post	0.01159574	520.2204033	0.000713282	0
E2	7°„C	7°„C	NONE	NONE	Ammonia	0.877	FineA	Post	0.016772294	784.4387058	0.000684201	7
E4	4°„C	4°„C	4°„C	NONE	Ammonia	0.834	FineA	Post	0.018343343	688.5819035	0.000852458	4
E5	3°„C	3°„C	NONE	NONE	Ammonia	1.093	FineA	Post	0.009891841	654.5107009	0.000483627	3
E6	RU	0°„C	RU	RU	Ammonia	0.868	FineA	Post	0.017094646	561.9354868	0.000973472	0
E7	4°„C	4°„C	4°„C	NONE	Ammonia	0.833	FineA	Post	0.018380836	687.504701	0.000855539	4
E8	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.971	FineA	Post	0.013590435	566.4816887	0.00076771	0
F1	RU	0°„C	RU	RU	Ammonia	0.821	FineA	Post	0.01883429	561.6053939	0.001073169	0
F10	6°„C	6°„C	NONE	NONE	Ammonia	0.914	FineA	Post	0.015480932	703.2513789	0.000704428	6
F3	4°„C	4°„C	4°„C	NONE	Ammonia	1.028	FineA	Post	0.011807811	687.689493	0.000549448	4
F4	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.958	FineA	Post	0.014011644	502.7580609	0.000891826	0
F6	5°„C	5°„C	NONE	NONE	Ammonia	0.722	FineA	Post	0.022849852	716.9714533	0.001019839	5
F7	8°„C	8°„C	NONE	NONE	Ammonia	0.955	FineA	Post	0.014109658	818.0384424	0.000551941	8
G11	5°„C	5°„C	NONE	NONE	Ammonia	0.836	FineA	Post	0.018268493	720.1580488	0.000811755	5
G12	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	0.797	FineA	Post	0.019761428	687.7497047	0.000919471	4
G2	1°„C	1°„C	NONE	NONE	Ammonia	0.793	FineA	Post	0.019918661	590.9402444	0.001078615	1
H1	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.009	FineA	Post	0.012390793	552.322465	0.000717887	0
H10	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.152	FineA	Post	0.008248923	550.0485948	0.000479895	0
H6	UR	0°„C	UR	UR	Ammonia	0.987	FineA	Post	0.013079698	558.59067	0.000749297	0
H7	7°„C	7°„C	NONE	NONE	Ammonia	1.167	FineA	Post	0.007844649	778.6621333	0.000322385	7
A1	4°„C	4°„C	4°„C	NONE	No Ammonia	1.486	RedNA	Post	0.011572178	688.2917682	0.000538013	4
A10	UR	0°„C	UR	UR	No Ammonia	1.584	RedNA	Post	0.009576386	548.7230628	0.000558468	0
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	1.554	RedNA	Post	0.010173918	690.5607143	0.000471451	4
A12	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	1.509	RedNA	Post	0.011092202	571.7024932	0.000620866	0
A3	5°„C	5°„C	NONE	NONE	No Ammonia	1.492	RedNA	Post	0.011446254	717.7389295	0.000510325	5
A4	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	1.564	RedNA	Post	0.009973469	571.7062151	0.000558243	0
A5	1°„C	1°„C	NONE	NONE	No Ammonia	1.572	RedNA	Post	0.00981403	589.5273433	0.000532713	1
A7	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.634	RedNA	Post	0.008605208	440.3995428	0.000625266	0
A8	5°„C	5°„C	NONE	NONE	No Ammonia	1.451	RedNA	Post	0.012317021	571.8630313	0.000689229	5
B1	1°„C	1°„C	NONE	NONE	No Ammonia	1.571	RedNA	Post	0.009833915	596.5805426	0.000527482	1
B10	8°„C	8°„C	NONE	NONE	No Ammonia	1.389	RedNA	Post	0.013681674	786.8680325	0.0005564	8
B3	6°„C	6°„C	NONE	NONE	No Ammonia	1.535	RedNA	Post	0.010558352	742.24955	0.000455194	6
B4	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.612	RedNA	Post	0.009028812	567.113749	0.00050946	0
B5	RU	0°„C	RU	RU	No Ammonia	1.589	RedNA	Post	0.009477899	557.7435207	0.000543785	0
B6	7°„C	7°„C	NONE	NONE	No Ammonia	1.49	RedNA	Post	0.011488173	780.4216447	0.000471055	7
B7	3°„C	3°„C	NONE	NONE	No Ammonia	1.543	RedNA	Post	0.010395908	517.939649	0.000642293	3
B9	4°„C	4°„C	4°„C	NONE	No Ammonia	1.565	RedNA	Post	0.009953494	543.9197722	0.000585586	4
C11	7°„C	7°„C	NONE	NONE	No Ammonia	1.487	RedNA	Post	0.011551155	787.2672959	0.000469519	7
C3	4°„C	4°„C	4°„C	NONE	No Ammonia	1.549	RedNA	Post	0.010274628	688.1489649	0.000477786	4
C6	RU	0°„C	RU	RU	No Ammonia	1.598	RedNA	Post	0.0093014	555.7259722	0.000535596	0
C7	2°„C	2°„C	NONE	NONE	No Ammonia	1.56	RedNA	Post	0.010053494	492.2699615	0.000653527	2
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	1.523	RedNA	Post	0.010803612	546.0259381	0.000633149	4
C9	UR	0°„C	UR	UR	No Ammonia	1.608	RedNA	Post	0.009106452	452.6442772	0.000643787	0
D1	RU	0°„C	RU	RU	No Ammonia	1.525	RedNA	Post	0.010762601	575.1613241	0.000598794	0
D12	4°„C	4°„C	4°„C	NONE	No Ammonia	1.547	RedNA	Post	0.010315002	687.472772	0.000480135	4
D6	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.559	RedNA	Post	0.010073533	533.3838903	0.000604355	0
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	1.463	RedNA	Post	0.012059641	545.8326823	0.000707009	4
D8	UR	0°„C	UR	UR	No Ammonia	1.593	RedNA	Post	0.009399332	453.9282073	0.000662613	0
D9	6°„C	6°„C	NONE	NONE	No Ammonia	1.535	RedNA	Post	0.010558352	597.7366259	0.000565244	6
E1	4°„C	4°„C	4°„C	NONE	No Ammonia	1.548	RedNA	Post	0.010294808	688.338158	0.000478593	4
E10	2°„C	2°„C	NONE	NONE	No Ammonia	1.478	RedNA	Post	0.011740869	622.0348773	0.000603998	2
E3	UR	0°„C	UR	UR	No Ammonia	1.551	RedNA	Post	0.010234305	521.7631767	0.000627675	0
F11	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.55	RedNA	Post	0.01025446	568.2869897	0.000577424	0
F5	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.589	RedNA	Post	0.009477899	542.8869125	0.000558667	0
F8	2°„C	2°„C	NONE	NONE	No Ammonia	1.504	RedNA	Post	0.011195919	609.2640359	0.000588036	2
F9	RU	0°„C	RU	RU	No Ammonia	1.564	RedNA	Post	0.009973469	566.6371707	0.000563237	0
G1	2°„C	2°„C	NONE	NONE	No Ammonia	1.553	RedNA	Post	0.010194034	623.0917118	0.000523533	2
G10	2°„C	2°„C	NONE	NONE	No Ammonia	1.501	RedNA	Post	0.011258315	622.253695	0.00057897	2
G3	2°„C	2°„C	NONE	NONE	No Ammonia	1.552	RedNA	Post	0.010214163	621.083394	0.000526263	2
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	1.585	RedNA	Post	0.009556664	689.654402	0.00044343	4
G5	3°„C	3°„C	NONE	NONE	No Ammonia	1.543	RedNA	Post	0.010395908	655.4091225	0.000507575	3
G6	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	1.555	RedNA	Post	0.010153816	541.2893702	0.000600274	0
G8	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.577	RedNA	Post	0.009714792	555.7136347	0.000559413	0
H11	4°„C	4°„C	4°„C	NONE	No Ammonia	1.369	RedNA	Post	0.014134909	676.2974721	0.000668814	4
H2	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	1.613	RedNA	Post	0.009009433	535.7892796	0.000538088	0
H3	8°„C	8°„C	NONE	NONE	No Ammonia	1.543	RedNA	Post	0.010395908	817.5208655	0.000406924	8
H4	4°„C	4°„C	4°„C	NONE	No Ammonia	1.498	RedNA	Post	0.011320836	688.2539508	0.000526356	4
H5	2°„C	2°„C	NONE	NONE	No Ammonia	1.607	RedNA	Post	0.009125892	617.1201987	0.000473212	2
A1	4°„C	4°„C	4°„C	NONE	No Ammonia	1.561	RedNA	Pre	0.010033469	510.8962108	0.000628447	4
A10	UR	0°„C	UR	NONE	No Ammonia	1.68	RedNA	Pre	0.00773762	373.6282585	0.000662701	0
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	No Ammonia	1.646	RedNA	Pre	0.008376548	512.769525	0.000522749	4
A12	UR+RU	0°„C	UR+RU	NONE	No Ammonia	1.671	RedNA	Pre	0.007905481	409.0859224	0.000618392	0
A3	5°„C	5°„C	NONE	NONE	No Ammonia	1.652	RedNA	Pre	0.008262843	536.7086318	0.000492653	5
A4	UR+RU	0°„C	UR+RU	NONE	No Ammonia	1.574	RedNA	Pre	0.009774297	396.6266239	0.000788594	0
A5	1°„C	1°„C	NONE	NONE	No Ammonia	1.71	RedNA	Pre	0.007184508	415.2492991	0.000553654	1
A7	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.589	RedNA	Pre	0.009477899	388.7419946	0.00078019	0
A8	5°„C	5°„C	NONE	NONE	No Ammonia	1.584	RedNA	Pre	0.009576386	543.6474695	0.000563682	5
B1	1°„C	1°„C	NONE	NONE	No Ammonia	1.697	RedNA	Pre	0.007422989	415.5329206	0.000571641	1
B10	8°„C	8°„C	NONE	NONE	No Ammonia	1.536	RedNA	Pre	0.010538	611.0046601	0.000551904	8
B3	6°„C	6°„C	NONE	NONE	No Ammonia	1.654	RedNA	Pre	0.008225033	561.8537601	0.000468451	6
B4	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.679	RedNA	Pre	0.007756227	390.8262586	0.000635063	0
B5	RU	0°„C	RU	NONE	No Ammonia	1.649	RedNA	Pre	0.008319644	387.8641973	0.000686396	0
B6	7°„C	7°„C	NONE	NONE	No Ammonia	1.592	RedNA	Pre	0.009418955	597.5789789	0.000504379	7
B7	3°„C	3°„C	NONE	NONE	No Ammonia	1.57	RedNA	Pre	0.009853813	478.8072599	0.000658557	3
B9	4°„C	4°„C	4°„C	NONE	No Ammonia	1.632	RedNA	Pre	0.008643481	510.5961807	0.000541703	4
C11	7°„C	7°„C	NONE	NONE	No Ammonia	1.589	RedNA	Pre	0.009477899	607.4374372	0.000499299	7
C3	4°„C	4°„C	4°„C	NONE	No Ammonia	1.557	RedNA	Pre	0.010113648	511.2343824	0.00063305	4
C6	RU	0°„C	RU	NONE	No Ammonia	1.642	RedNA	Pre	0.008452582	385.1592489	0.000702262	0
C7	2°„C	2°„C	NONE	NONE	No Ammonia	1.619	RedNA	Pre	0.008893405	447.3081644	0.000636226	2
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	No Ammonia	1.702	RedNA	Pre	0.00733105	512.5095976	0.000457735	4
C9	UR	0°„C	UR	NONE	No Ammonia	1.675	RedNA	Pre	0.007830765	400.584772	0.000625547	0
D1	RU	0°„C	RU	NONE	No Ammonia	1.536	RedNA	Pre	0.010538	393.9633556	0.000855958	0
D12	4°„C	4°„C	4°„C	NONE	No Ammonia	1.591	RedNA	Pre	0.00943859	510.638262	0.000591485	4
D6	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.726	RedNA	Pre	0.00689347	363.6924729	0.000606532	0
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	No Ammonia	1.66	RedNA	Pre	0.008111876	512.3217717	0.000506674	4
D8	UR	0°„C	UR	NONE	No Ammonia	1.681	RedNA	Pre	0.007719025	398.2112328	0.000620296	0
D9	6°„C	6°„C	NONE	NONE	No Ammonia	1.612	RedNA	Pre	0.009028812	575.0727168	0.00050241	6
E1	4°„C	4°„C	4°„C	NONE	No Ammonia	1.646	RedNA	Pre	0.008376548	511.0090525	0.000524549	4
E10	2°„C	2°„C	NONE	NONE	No Ammonia	1.702	RedNA	Pre	0.00733105	447.2540647	0.00052452	2
E3	UR	0°„C	UR	NONE	No Ammonia	1.676	RedNA	Pre	0.007812114	341.1458695	0.000732788	0
F11	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.702	RedNA	Pre	0.00733105	395.8801933	0.000592587	0
F5	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.696	RedNA	Pre	0.00744141	376.592826	0.000632315	0
F8	2°„C	2°„C	NONE	NONE	No Ammonia	1.634	RedNA	Pre	0.008605208	438.0687063	0.000628592	2
F9	RU	0°„C	RU	NONE	No Ammonia	1.62	RedNA	Pre	0.008874109	394.320402	0.000720154	0
G1	2°„C	2°„C	NONE	NONE	No Ammonia	1.641	RedNA	Pre	0.00847162	448.0639684	0.000605029	2
G10	2°„C	2°„C	NONE	NONE	No Ammonia	1.545	RedNA	Pre	0.010355429	447.4649613	0.000740558	2
G3	2°„C	2°„C	NONE	NONE	No Ammonia	1.643	RedNA	Pre	0.008433556	446.2652051	0.000604739	2
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	No Ammonia	1.695	RedNA	Pre	0.007459841	512.7256094	0.00046558	4
G5	3°„C	3°„C	NONE	NONE	No Ammonia	1.654	RedNA	Pre	0.008225033	479.2072676	0.000549243	3
G6	UR+RU	0°„C	UR+RU	NONE	No Ammonia	1.591	RedNA	Pre	0.00943859	375.1931046	0.000805012	0
G8	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.551	RedNA	Pre	0.010234305	377.6957899	0.000867094	0
H11	4°„C	4°„C	4°„C	NONE	No Ammonia	1.629	RedNA	Pre	0.008700979	498.2471955	0.000558822	4
H2	UR+RU	1°„C	UR+RU	NONE	No Ammonia	1.63	RedNA	Pre	0.008681801	359.6589664	0.000772447	1
H3	8°„C	8°„C	NONE	NONE	No Ammonia	1.564	RedNA	Pre	0.009973469	636.9523054	0.000501059	8
H4	4°„C	4°„C	4°„C	NONE	No Ammonia	1.621	RedNA	Pre	0.008854825	510.9729472	0.000554539	4
H5	2°„C	2°„C	NONE	NONE	No Ammonia	1.674	RedNA	Pre	0.007849427	441.6489199	0.000568736	2
A1	4°„C	4°„C	4°„C	NONE	No Ammonia	0.538	GreenNA	Post	0.041328096	688.2917682	0.001921422	4
A10	UR	0°„C	UR	UR	No Ammonia	0.646	GreenNA	Post	0.035611191	548.7230628	0.002076745	0
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.608	GreenNA	Post	0.037505711	690.5607143	0.001737983	4
A12	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.627	GreenNA	Post	0.036544096	571.7024932	0.002045489	0
A3	5°„C	5°„C	NONE	NONE	No Ammonia	0.518	GreenNA	Post	0.042511949	717.7389295	0.001895372	5
A4	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.635	GreenNA	Post	0.036147894	571.7062151	0.002023299	0
A5	1°„C	1°„C	NONE	NONE	No Ammonia	0.541	GreenNA	Post	0.041154323	589.5273433	0.002233888	1
A7	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.497	GreenNA	Post	0.043805237	440.3995428	0.003182945	0
A8	5°„C	5°„C	NONE	NONE	No Ammonia	0.487	GreenNA	Post	0.044440422	571.8630313	0.002486773	5
B1	1°„C	1°„C	NONE	NONE	No Ammonia	0.609	GreenNA	Post	0.037454355	596.5805426	0.002009015	1
B10	8°„C	8°„C	NONE	NONE	No Ammonia	0.442	GreenNA	Post	0.047470242	786.8680325	0.001930499	8
B3	6°„C	6°„C	NONE	NONE	No Ammonia	0.658	GreenNA	Post	0.035036021	742.24955	0.001510479	6
B4	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.667	GreenNA	Post	0.034611487	567.113749	0.00195299	0
B5	RU	0°„C	RU	RU	No Ammonia	0.546	GreenNA	Post	0.040866833	557.7435207	0.002344695	0
B6	7°„C	7°„C	NONE	NONE	No Ammonia	0.565	GreenNA	Post	0.039797871	780.4216447	0.001631851	7
B7	3°„C	3°„C	NONE	NONE	No Ammonia	0.658	GreenNA	Post	0.035036021	517.939649	0.00216464	3
B9	4°„C	4°„C	4°„C	NONE	No Ammonia	0.506	GreenNA	Post	0.043244405	543.9197722	0.002544164	4
C11	7°„C	7°„C	NONE	NONE	No Ammonia	0.498	GreenNA	Post	0.043742423	787.2672959	0.001777995	7
C3	4°„C	4°„C	4°„C	NONE	No Ammonia	0.53	GreenNA	Post	0.041796269	688.1489649	0.001943592	4
C6	RU	0°„C	RU	RU	No Ammonia	0.673	GreenNA	Post	0.034331634	555.7259722	0.001976896	0
C7	2°„C	2°„C	NONE	NONE	No Ammonia	0.544	GreenNA	Post	0.040981512	492.2699615	0.002664002	2
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.445	GreenNA	Post	0.047258854	546.0259381	0.002769618	4
C9	UR	0°„C	UR	UR	No Ammonia	0.657	GreenNA	Post	0.03508355	452.6442772	0.002480256	0
D1	RU	0°„C	RU	RU	No Ammonia	0.533	GreenNA	Post	0.041619881	575.1613241	0.002315587	0
D12	4°„C	4°„C	4°„C	NONE	No Ammonia	0.377	GreenNA	Post	0.052441013	687.472772	0.002440987	4
D6	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.622	GreenNA	Post	0.036794298	533.3838903	0.002207449	0
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.484	GreenNA	Post	0.044633522	545.8326823	0.002616686	4
D8	UR	0°„C	UR	UR	No Ammonia	0.767	GreenNA	Post	0.030245963	453.9282073	0.002132211	0
D9	6°„C	6°„C	NONE	NONE	No Ammonia	0.637	GreenNA	Post	0.036049624	597.7366259	0.001929927	6
E1	4°„C	4°„C	4°„C	NONE	No Ammonia	0.661	GreenNA	Post	0.034893868	688.338158	0.001622173	4
E10	2°„C	2°„C	NONE	NONE	No Ammonia	0.505	GreenNA	Post	0.043306225	622.0348773	0.002227848	2
E3	UR	0°„C	UR	UR	No Ammonia	0.514	GreenNA	Post	0.042754199	521.7631767	0.002622137	0
F11	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.639	GreenNA	Post	0.035951661	568.2869897	0.002024423	0
F5	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.57	GreenNA	Post	0.039522539	542.8869125	0.002329622	0
F8	2°„C	2°„C	NONE	NONE	No Ammonia	0.677	GreenNA	Post	0.034146448	609.2640359	0.001793453	2
F9	RU	0°„C	RU	RU	No Ammonia	0.584	GreenNA	Post	0.03876427	566.6371707	0.002189155	0
G1	2°„C	2°„C	NONE	NONE	No Ammonia	0.637	GreenNA	Post	0.036049624	623.0917118	0.001851394	2
G10	2°„C	2°„C	NONE	NONE	No Ammonia	0.534	GreenNA	Post	0.041561306	622.253695	0.00213733	2
G3	2°„C	2°„C	NONE	NONE	No Ammonia	0.541	GreenNA	Post	0.041154323	621.083394	0.002120389	2
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.606	GreenNA	Post	0.037608676	689.654402	0.001745045	4
G5	3°„C	3°„C	NONE	NONE	No Ammonia	0.658	GreenNA	Post	0.035036021	655.4091225	0.001710615	3
G6	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.751	GreenNA	Post	0.030904749	541.2893702	0.00182703	0
G8	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.764	GreenNA	Post	0.030368432	555.7136347	0.001748724	0
H11	4°„C	4°„C	4°„C	NONE	No Ammonia	0.589	GreenNA	Post	0.038497857	676.2974721	0.001821582	4
H2	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.787	GreenNA	Post	0.029441543	535.7892796	0.001758395	0
H3	8°„C	8°„C	NONE	NONE	No Ammonia	0.505	GreenNA	Post	0.043306225	817.5208655	0.001695124	8
H4	4°„C	4°„C	4°„C	NONE	No Ammonia	0.545	GreenNA	Post	0.040924119	688.2539508	0.001902745	4
H5	2°„C	2°„C	NONE	NONE	No Ammonia	0.518	GreenNA	Post	0.042511949	617.1201987	0.002204404	2
A1	4°„C	4°„C	4°„C	NONE	No Ammonia	0.602	GreenNA	Pre	0.03781563	510.8962108	0.002368583	4
A10	UR	0°„C	UR	NONE	No Ammonia	0.773	GreenNA	Pre	0.030002455	373.6282585	0.002569609	0
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	No Ammonia	0.836	GreenNA	Pre	0.027554031	512.769525	0.001719543	4
A12	UR+RU	0°„C	UR+RU	NONE	No Ammonia	0.636	GreenNA	Pre	0.03609872	409.0859224	0.002823757	0
A3	5°„C	5°„C	NONE	NONE	No Ammonia	0.701	GreenNA	Pre	0.033057804	536.7086318	0.001970994	5
A4	UR+RU	0°„C	UR+RU	NONE	No Ammonia	0.669	GreenNA	Pre	0.034517924	396.6266239	0.00278492	0
A5	1°„C	1°„C	NONE	NONE	No Ammonia	0.679	GreenNA	Pre	0.034054265	415.2492991	0.002624295	1
A7	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.675	GreenNA	Pre	0.034238904	388.7419946	0.002818437	0
A8	5°„C	5°„C	NONE	NONE	No Ammonia	0.572	GreenNA	Pre	0.039413082	543.6474695	0.00231992	5
B1	1°„C	1°„C	NONE	NONE	No Ammonia	0.775	GreenNA	Pre	0.029921706	415.5329206	0.002304257	1
B10	8°„C	8°„C	NONE	NONE	No Ammonia	0.415	GreenNA	Pre	0.049439972	611.0046601	0.002589308	8
B3	6°„C	6°„C	NONE	NONE	No Ammonia	0.623	GreenNA	Pre	0.036744097	561.8537601	0.002092735	6
B4	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.633	GreenNA	Pre	0.036246475	390.8262586	0.002967782	0
B5	RU	0°„C	RU	NONE	No Ammonia	0.668	GreenNA	Pre	0.03456467	387.8641973	0.002851693	0
B6	7°„C	7°„C	NONE	NONE	No Ammonia	0.6105	GreenNA	Pre	0.037377479	597.5789789	0.002001542	7
B7	3°„C	3°„C	NONE	NONE	No Ammonia	0.636	GreenNA	Pre	0.03609872	478.8072599	0.002412576	3
B9	4°„C	4°„C	4°„C	NONE	No Ammonia	0.553	GreenNA	Pre	0.040468738	510.5961807	0.00253625	4
C11	7°„C	7°„C	NONE	NONE	No Ammonia	0.644	GreenNA	Pre	0.03570809	607.4374372	0.001881114	7
C3	4°„C	4°„C	4°„C	NONE	No Ammonia	0.595	GreenNA	Pre	0.038181132	511.2343824	0.002389894	4
C6	RU	0°„C	RU	NONE	No Ammonia	0.74	GreenNA	Pre	0.031365857	385.1592489	0.002605954	0
C7	2°„C	2°„C	NONE	NONE	No Ammonia	0.613	GreenNA	Pre	0.037249771	447.3081644	0.002664813	2
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	No Ammonia	0.666	GreenNA	Pre	0.034658373	512.5095976	0.002163994	4
C9	UR	0°„C	UR	NONE	No Ammonia	0.671	GreenNA	Pre	0.03442464	400.584772	0.002749951	0
D1	RU	0°„C	RU	NONE	No Ammonia	0.644	GreenNA	Pre	0.03570809	393.9633556	0.002900419	0
D12	4°„C	4°„C	4°„C	NONE	No Ammonia	0.67	GreenNA	Pre	0.034471247	510.638262	0.002160198	4
D6	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.734	GreenNA	Pre	0.031620268	363.6924729	0.002782154	0
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	No Ammonia	0.756	GreenNA	Pre	0.030697383	512.3217717	0.001917381	4
D8	UR	0°„C	UR	NONE	No Ammonia	0.765	GreenNA	Pre	0.030327556	398.2112328	0.002437103	0
D9	6°„C	6°„C	NONE	NONE	No Ammonia	0.654	GreenNA	Pre	0.035226571	575.0727168	0.001960187	6
E1	4°„C	4°„C	4°„C	NONE	No Ammonia	0.682	GreenNA	Pre	0.033916499	511.0090525	0.002123892	4
E10	2°„C	2°„C	NONE	NONE	No Ammonia	0.609	GreenNA	Pre	0.037454355	447.2540647	0.002679773	2
E3	UR	0°„C	UR	NONE	No Ammonia	0.746	GreenNA	Pre	0.031113501	341.1458695	0.002918494	0
F11	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.68	GreenNA	Pre	0.034008276	395.8801933	0.002748975	0
F5	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.751	GreenNA	Pre	0.030904749	376.592826	0.002626051	0
F8	2°„C	2°„C	NONE	NONE	No Ammonia	0.728	GreenNA	Pre	0.031876768	438.0687063	0.002328531	2
F9	RU	0°„C	RU	NONE	No Ammonia	0.613	GreenNA	Pre	0.037249771	394.320402	0.003022904	0
G1	2°„C	2°„C	NONE	NONE	No Ammonia	0.767	GreenNA	Pre	0.030245963	448.0639684	0.002160117	2
G10	2°„C	2°„C	NONE	NONE	No Ammonia	0.571	GreenNA	Pre	0.039467763	447.4649613	0.002822497	2
G3	2°„C	2°„C	NONE	NONE	No Ammonia	0.761	GreenNA	Pre	0.030491383	446.2652051	0.002186422	2
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	No Ammonia	0.79	GreenNA	Pre	0.029322646	512.7256094	0.001830072	4
G5	3°„C	3°„C	NONE	NONE	No Ammonia	0.754	GreenNA	Pre	0.030780164	479.2072676	0.002055405	3
G6	UR+RU	0°„C	UR+RU	NONE	No Ammonia	0.724	GreenNA	Pre	0.032048945	375.1931046	0.002733436	0
G8	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.544	GreenNA	Pre	0.040981512	377.6957899	0.003472129	0
H11	4°„C	4°„C	4°„C	NONE	No Ammonia	0.556	GreenNA	Pre	0.040299666	498.2471955	0.002588252	4
