Ponds	Group	Temperature	Treatment	Chemical	Ammonia	Weight	Type	Dosing	K	Sum	KDD
E8	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.593	Green	Post	0.038286351	566.4816887	0.002162759
E9	2°„C	2°„C		NONE	Ammonia	0.711	Green	Post	0.032615162	622.0086139	0.001677927
F1	RU	0°„C	RU	RU	Ammonia	0.769	Green	Post	0.030164583	561.6053939	0.001718763
F10	6°„C	6°„C		NONE	Ammonia	0.622	Green	Post	0.036794298	703.2513789	0.001674248
F11	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.639	Green	Post	0.035951661	568.2869897	0.002024423
F12	2°„C	2°„C		NONE	Ammonia	0.603	Green	Post	0.037763763	620.9073982	0.001946249
F2	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU+4°„C	Ammonia	0.585	Green	Post	0.038710805	667.6246241	0.001855452
F3	4°„C	4°„C	4°„C	NONE	Ammonia	0.539	Green	Post	0.041270064	687.689493	0.001920405
F4	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.814	Green	Post	0.028387414	502.7580609	0.001806828
F5	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.57	Green	Post	0.039522539	542.8869125	0.002329622
F6	5°„C	5°„C		NONE	Ammonia	0.533	Green	Post	0.041619881	716.9714533	0.001857586
F7	8°„C	8°„C		NONE	Ammonia	0.627	Green	Post	0.036544096	818.0384424	0.001429531
F8	2°„C	2°„C		NONE	No Ammonia	0.677	Green	Post	0.034146448	609.2640359	0.001793453
F9	RU	0°„C	RU	RU	No Ammonia	0.584	Green	Post	0.03876427	566.6371707	0.002189155
G1	2°„C	2°„C		NONE	No Ammonia	0.637	Green	Post	0.036049624	623.0917118	0.001851394
G10	2°„C	2°„C		NONE	No Ammonia	0.534	Green	Post	0.041561306	622.253695	0.00213733
G11	5°„C	5°„C		NONE	Ammonia	0.496	Green	Post	0.043868178	720.1580488	0.001949269
G12	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	0.695	Green	Post	0.03332643	687.7497047	0.001550631
G2	1°„C	1°„C		NONE	Ammonia	0.695	Green	Post	0.03332643	590.9402444	0.001804659
G3	2°„C	2°„C		NONE	No Ammonia	0.541	Green	Post	0.041154323	621.083394	0.002120389
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.606	Green	Post	0.037608676	689.654402	0.001745045
G5	3°„C	3°„C		NONE	No Ammonia	0.658	Green	Post	0.035036021	655.4091225	0.001710615
G6	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.751	Green	Post	0.030904749	541.2893702	0.00182703
G7	RU	0°„C	RU	RU	Ammonia	0.608	Green	Post	0.037505711	568.0331778	0.002112874
G8	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.764	Green	Post	0.030368432	555.7136347	0.001748724
G9	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	0.477	Green	Post	0.045088785	684.3270204	0.002108409
H1	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.571	Green	Post	0.039467763	552.322465	0.00228665
H10	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.647	Green	Post	0.035562854	550.0485948	0.002068929
H11	4°„C	4°„C	4°„C	NONE	No Ammonia	0.589	Green	Post	0.038497857	676.2974721	0.001821582
H12	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.604	Green	Post	0.037711982	538.8459203	0.00223957
H2	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.787	Green	Post	0.029441543	535.7892796	0.001758395
H3	8°„C	8°„C		NONE	No Ammonia	0.505	Green	Post	0.043306225	817.5208655	0.001695124
H4	4°„C	4°„C	4°„C	NONE	No Ammonia	0.545	Green	Post	0.040924119	688.2539508	0.001902745
H5	2°„C	2°„C		NONE	No Ammonia	0.518	Green	Post	0.042511949	617.1201987	0.002204404
H6	UR	0°„C	UR	UR	Ammonia	0.677	Green	Post	0.034146448	558.59067	0.001956149
H7	7°„C	7°„C		NONE	Ammonia	0.667	Green	Post	0.034611487	778.6621333	0.001422398
H8	4°„C	4°„C	4°„C	NONE	Ammonia	0.588	Green	Post	0.038550958	687.7788463	0.001793644
H9	1°„C	1°„C		NONE	Ammonia	0.6225	Green	Post	0.036769187	588.7049609	0.001998648
A1	4°„C	4°„C	4°„C	NONE	No Ammonia	0.602	Green	Pre	0.03781563	510.8962108	0.002368583
A10	UR	0°„C	UR	NONE	No Ammonia	0.773	Green	Pre	0.030002455	373.6282585	0.002569609
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	No Ammonia	0.836	Green	Pre	0.027554031	512.769525	0.001719543
A12	UR+RU	0°„C	UR+RU	NONE	No Ammonia	0.636	Green	Pre	0.03609872	409.0859224	0.002823757
A2	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.632	Green	Pre	0.036295882	367.6137297	0.00315948
A3	5°„C	5°„C		NONE	No Ammonia	0.701	Green	Pre	0.033057804	536.7086318	0.001970994
A4	UR+RU	0°„C	UR+RU	NONE	No Ammonia	0.669	Green	Pre	0.034517924	396.6266239	0.00278492
A5	1°„C	1°„C		NONE	No Ammonia	0.679	Green	Pre	0.034054265	415.2492991	0.002624295
A6	4°„C	4°„C	4°„C	NONE	Ammonia	0.635	Green	Pre	0.036147894	509.5454726	0.002270126
A7	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.675	Green	Pre	0.034238904	388.7419946	0.002818437
A8	5°„C	5°„C		NONE	No Ammonia	0.572	Green	Pre	0.039413082	543.6474695	0.00231992
A9	2°„C	2°„C		NONE	Ammonia	0.638	Green	Pre	0.036000604	446.1328871	0.002582234
B1	1°„C	1°„C		NONE	No Ammonia	0.775	Green	Pre	0.029921706	415.5329206	0.002304257
B10	8°„C	8°„C		NONE	No Ammonia	0.415	Green	Pre	0.049439972	611.0046601	0.002589308
B11	2°„C	2°„C		NONE	Ammonia	0.756	Green	Pre	0.030697383	447.1158977	0.002197006
B12	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.731	Green	Pre	0.031748255	383.1024087	0.002651887
B2	UR	0°„C	UR	NONE	Ammonia	0.682	Green	Pre	0.033916499	361.8610358	0.002999295
B3	6°„C	6°„C		NONE	No Ammonia	0.623	Green	Pre	0.036744097	561.8537601	0.002092735
B4	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.633	Green	Pre	0.036246475	390.8262586	0.002967782
B5	RU	0°„C	RU	NONE	No Ammonia	0.668	Green	Pre	0.03456467	387.8641973	0.002851693
B6	7°„C	7°„C		NONE	No Ammonia	0.6105	Green	Pre	0.037377479	597.5789789	0.002001542
B7	3°„C	3°„C		NONE	No Ammonia	0.636	Green	Pre	0.03609872	478.8072599	0.002412576
B8	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.622	Green	Pre	0.036794298	395.6144868	0.002976174
B9	4°„C	4°„C	4°„C	NONE	No Ammonia	0.553	Green	Pre	0.040468738	510.5961807	0.00253625
C1	UR+RU	0°„C	UR+RU	NONE	Ammonia	0.619	Green	Pre	0.036945386	379.2232947	0.003117563
C10	4°„C	4°„C	4°„C	NONE	Ammonia	0.601	Green	Pre	0.037867584	511.0165615	0.002371279
C11	7°„C	7°„C		NONE	No Ammonia	0.644	Green	Pre	0.03570809	607.4374372	0.001881114
C12	RU	0°„C	RU	NONE	Ammonia	0.701	Green	Pre	0.033057804	405.0981561	0.002611342
C2	2°„C	2°„C		NONE	Ammonia	0.73	Green	Pre	0.031791034	447.0255008	0.002275738
C3	4°„C	4°„C	4°„C	NONE	No Ammonia	0.595	Green	Pre	0.038181132	511.2343824	0.002389894
C4	8°„C	8°„C		NONE	Ammonia	0.524	Green	Pre	0.04215206	604.1764945	0.002232569
C5	2°„C	2°„C		NONE	Ammonia	0.677	Green	Pre	0.034146448	447.3924899	0.002442344
C6	RU	0°„C	RU	NONE	No Ammonia	0.74	Green	Pre	0.031365857	385.1592489	0.002605954
C7	2°„C	2°„C		NONE	No Ammonia	0.613	Green	Pre	0.037249771	447.3081644	0.002664813
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	No Ammonia	0.666	Green	Pre	0.034658373	512.5095976	0.002163994
C9	UR	0°„C	UR	NONE	No Ammonia	0.671	Green	Pre	0.03442464	400.584772	0.002749951
D1	RU	0°„C	RU	NONE	No Ammonia	0.644	Green	Pre	0.03570809	393.9633556	0.002900419
D10	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.756	Green	Pre	0.030697383	383.7503061	0.00255978
D11	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	Ammonia	0.589	Green	Pre	0.038497857	510.50261	0.002413174
D12	4°„C	4°„C	4°„C	NONE	No Ammonia	0.67	Green	Pre	0.034471247	510.638262	0.002160198
D2	4°„C	4°„C	4°„C	NONE	Ammonia	0.628	Green	Pre	0.036494295	509.8687233	0.002290428
D3	6°„C	6°„C		NONE	Ammonia	0.563	Green	Pre	0.039908687	574.4571034	0.002223104
D4	2°„C	2°„C		NONE	Ammonia	0.617	Green	Pre	0.037046519	444.7157219	0.002665722
D5	UR	0°„C	UR	NONE	Ammonia	0.776	Green	Pre	0.029881409	377.3008335	0.002534331
D6	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.734	Green	Pre	0.031620268	363.6924729	0.002782154
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	No Ammonia	0.756	Green	Pre	0.030697383	512.3217717	0.001917381
D8	UR	0°„C	UR	NONE	No Ammonia	0.765	Green	Pre	0.030327556	398.2112328	0.002437103
D9	6°„C	6°„C		NONE	No Ammonia	0.654	Green	Pre	0.035226571	575.0727168	0.001960187
E1	4°„C	4°„C	4°„C	NONE	No Ammonia	0.682	Green	Pre	0.033916499	511.0090525	0.002123892
E10	2°„C	2°„C		NONE	No Ammonia	0.609	Green	Pre	0.037454355	447.2540647	0.002679773
E11	3°„C	3°„C		NONE	Ammonia	0.761	Green	Pre	0.030491383	479.6663341	0.002034173
E12	UR	0°„C	UR	NONE	Ammonia	0.797	Green	Pre	0.029046967	365.7896935	0.002541086
E2	7°„C	7°„C		NONE	Ammonia	0.572	Green	Pre	0.039413082	604.6203759	0.002085968
E3	UR	0°„C	UR	NONE	No Ammonia	0.746	Green	Pre	0.031113501	341.1458695	0.002918494
E4	4°„C	4°„C	4°„C	NONE	Ammonia	0.692	Green	Pre	0.033461614	511.2400122	0.00209446
E5	3°„C	3°„C		NONE	Ammonia	0.815	Green	Pre	0.028349047	479.2740404	0.001892799
E6	RU	0°„C	RU	NONE	Ammonia	0.674	Green	Pre	0.034285235	392.1089334	0.002798017
E7	4°„C	4°„C	4°„C	NONE	Ammonia	0.56	Green	Pre	0.040075651	510.2234102	0.00251345
E8	UR+RU	0°„C	UR+RU	NONE	Ammonia	0.581	Green	Pre	0.038925214	395.688872	0.003147945
E9	2°„C	2°„C		NONE	Ammonia	0.675	Green	Pre	0.034238904	447.2282164	0.002449856
F1	RU	0°„C	RU	NONE	Ammonia	0.739	Green	Pre	0.031408116	387.9225775	0.002590877
F10	6°„C	6°„C		NONE	Ammonia	0.667	Green	Pre	0.034611487	530.8745233	0.002086308
F11	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.68	Green	Pre	0.034008276	395.8801933	0.002748975
F12	2°„C	2°„C		NONE	Ammonia	0.657	Green	Pre	0.03508355	446.2576869	0.002515752
F2	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	Ammonia	0.785	Green	Pre	0.029521059	491.5371511	0.001921877
F3	4°„C	4°„C	4°„C	NONE	Ammonia	0.581	Green	Pre	0.038925214	510.5763123	0.00243961
F4	UR+RU	0°„C	UR+RU	NONE	Ammonia	0.798	Green	Pre	0.029007782	360.2414761	0.002576741
F5	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.751	Green	Pre	0.030904749	376.592826	0.002626051
F6	5°„C	5°„C		NONE	Ammonia	0.667	Green	Pre	0.034611487	540.9976819	0.002047269
F7	8°„C	8°„C		NONE	Ammonia	0.636	Green	Pre	0.03609872	637.2128321	0.001812831
F8	2°„C	2°„C		NONE	No Ammonia	0.728	Green	Pre	0.031876768	438.0687063	0.002328531
F9	RU	0°„C	RU	NONE	No Ammonia	0.613	Green	Pre	0.037249771	394.320402	0.003022904
G1	2°„C	2°„C		NONE	No Ammonia	0.767	Green	Pre	0.030245963	448.0639684	0.002160117
G10	2°„C	2°„C		NONE	No Ammonia	0.571	Green	Pre	0.039467763	447.4649613	0.002822497
G11	5°„C	5°„C		NONE	Ammonia	0.527	Green	Pre	0.041973658	541.592732	0.002480013
G12	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	Ammonia	0.72	Green	Pre	0.032222075	510.7005326	0.002019004
G2	1°„C	1°„C		NONE	Ammonia	0.824	Green	Pre	0.028005847	415.9324667	0.002154646
G3	2°„C	2°„C		NONE	No Ammonia	0.761	Green	Pre	0.030491383	446.2652051	0.002186422
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	No Ammonia	0.79	Green	Pre	0.029322646	512.7256094	0.001830072
G5	3°„C	3°„C		NONE	No Ammonia	0.754	Green	Pre	0.030780164	479.2072676	0.002055405
G6	UR+RU	0°„C	UR+RU	NONE	No Ammonia	0.724	Green	Pre	0.032048945	375.1931046	0.002733436
G7	RU	0°„C	RU	NONE	Ammonia	0.69	Green	Pre	0.033552063	392.6763574	0.002734226
G8	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.544	Green	Pre	0.040981512	377.6957899	0.003472129
G9	UR+RU+4°„C	4°„C	UR+RU+4°„C	NONE	Ammonia	0.783	Green	Pre	0.029600779	505.7112059	0.001873055
H1	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.62	Green	Pre	0.036894942	375.5703174	0.003143587
H10	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.661	Green	Pre	0.034893868	375.7733472	0.002971482
H11	4°„C	4°„C	4°„C	NONE	No Ammonia	0.556	Green	Pre	0.040299666	498.2471955	0.002588252
H12	UR+RU	0°„C	UR+RU	NONE	Ammonia	0.604	Green	Pre	0.037711982	376.8510524	0.003202282
H2	UR+RU	1°„C	UR+RU	NONE	No Ammonia	0.778	Green	Pre	0.029800972	359.6589664	0.002651487
H3	8°„C	8°„C		NONE	No Ammonia	0.492	Green	Pre	0.044121216	636.9523054	0.002216616
H4	4°„C	4°„C	4°„C	NONE	No Ammonia	0.713	Green	Pre	0.032527381	510.9729472	0.002037048
H5	2°„C	2°„C		NONE	No Ammonia	0.657	Green	Pre	0.03508355	441.6489199	0.002542005
H6	UR	0°„C	UR	NONE	Ammonia	0.734	Green	Pre	0.031620268	386.4261501	0.002618479
H7	7°„C	7°„C		NONE	Ammonia	0.621	Green	Pre	0.036844579	600.3673159	0.001963842
H8	4°„C	4°„C	4°„C	NONE	Ammonia	0.61	Green	Pre	0.037403083	510.8252488	0.002343069
H9	1°„C	1°„C		NONE	Ammonia	0.633	Green	Pre	0.036246475	415.3681417	0.002792432
A1	4°„C	4°„C	4°„C	NONE	No Ammonia	0.789	Coarse	Post	0.02007669	688.2917682	0.000933404
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.844	Coarse	Post	0.017970872	690.5607143	0.000832755
A12	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.8	Coarse	Post	0.019644021	571.7024932	0.001099538
A2	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.914	Coarse	Post	0.015480932	536.7335952	0.000922972
A5	1°„C	1°„C		NONE	No Ammonia	0.722	Coarse	Post	0.022849852	589.5273433	0.001240308
A8	5°„C	5°„C		NONE	No Ammonia	0.686	Coarse	Post	0.024448211	571.8630313	0.00136806
A9	2°„C	2°„C		NONE	Ammonia	0.763	Coarse	Post	0.021123824	491.2156696	0.001376101
B1	1°„C	1°„C		NONE	No Ammonia	0.849	Coarse	Post	0.017786288	596.5805426	0.000954039
B10	8°„C	8°„C		NONE	No Ammonia	0.69	Coarse	Post	0.024266525	786.8680325	0.00098686
B11	2°„C	2°„C		NONE	Ammonia	0.629	Coarse	Post	0.027159035	621.953428	0.001397354
B12	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.791	Coarse	Post	0.019997576	546.4831085	0.001170983
B2	UR	0°„C	UR	UR	Ammonia	0.925	Coarse	Post	0.015107083	524.648602	0.000921429
B3	6°„C	6°„C		NONE	No Ammonia	0.795	Coarse	Post	0.019839946	742.24955	0.000855343
B4	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.899	Coarse	Post	0.015998042	567.113749	0.000902707
B5	RU	0°„C	RU	RU	No Ammonia	0.289	Coarse	Post	0.051462303	557.7435207	0.0029526
B8	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.71	Coarse	Post	0.023373607	448.3988604	0.001668058
B9	4°„C	4°„C	4°„C	NONE	No Ammonia	0.945	Coarse	Post	0.014438608	543.9197722	0.000849455
C1	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.621	Coarse	Post	0.027559041	553.2492177	0.001594018
C10	4°„C	4°„C	4°„C	NONE	Ammonia	0.764	Coarse	Post	0.021082894	687.9237416	0.000980708
C11	7°„C	7°„C		NONE	No Ammonia	0.538	Coarse	Post	0.032042557	787.2672959	0.001302432
C12	RU	0°„C	RU	RU	Ammonia	0.93	Coarse	Post	0.014938619	569.2269491	0.000839798
C2	2°„C	2°„C		NONE	Ammonia	0.99	Coarse	Post	0.012984858	621.913309	0.000668124
C3	4°„C	4°„C	4°„C	NONE	No Ammonia	0.78	Coarse	Post	0.020435202	688.1489649	0.000950269
C4	8°„C	8°„C		NONE	Ammonia	0.529	Coarse	Post	0.032569749	785.9408731	0.001326095
C5	2°„C	2°„C		NONE	Ammonia	0.886	Coarse	Post	0.016453232	622.4863337	0.000845807
C6	RU	0°„C	RU	RU	No Ammonia	0.771	Coarse	Post	0.020797875	555.7259722	0.00119759
C7	2°„C	2°„C		NONE	No Ammonia	0.522	Coarse	Post	0.032986025	492.2699615	0.002144256
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.701	Coarse	Post	0.023772266	546.0259381	0.00139318
C9	UR	0°„C	UR	UR	No Ammonia	0.85	Coarse	Post	0.017749501	452.6442772	0.001254813
D1	RU	0°„C	RU	RU	No Ammonia	0.651	Coarse	Post	0.026084711	575.1613241	0.001451264
D10	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.611	Coarse	Post	0.028066357	558.5367533	0.001607993
D11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	0.851	Coarse	Post	0.017712758	689.3842741	0.000822195
D12	4°„C	4°„C	4°„C	NONE	No Ammonia	0.458	Coarse	Post	0.037073475	687.472772	0.00172567
D2	4°„C	4°„C	4°„C	NONE	Ammonia	0.921	Coarse	Post	0.015242511	686.6259892	0.000710373
D3	6°„C	6°„C		NONE	Ammonia	0.587	Coarse	Post	0.029318611	753.3781184	0.001245318
D5	UR	0°„C	UR	UR	Ammonia	0.362	Coarse	Post	0.044424255	551.6865593	0.002576782
D6	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.002	Coarse	Post	0.012608347	533.3838903	0.000756429
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.829	Coarse	Post	0.018531257	545.8326823	0.001086414
D9	6°„C	6°„C		NONE	No Ammonia	0.74	Coarse	Post	0.022080319	597.7366259	0.001182076
E10	2°„C	2°„C		NONE	No Ammonia	0.718	Coarse	Post	0.023023463	622.0348773	0.00118442
E12	UR	0°„C	UR	UR	Ammonia	0.93	Coarse	Post	0.014938619	520.2204033	0.00091891
E2	7°„C	7°„C		NONE	Ammonia	0.582	Coarse	Post	0.029585936	784.4387058	0.001206914
E3	UR	0°„C	UR	UR	No Ammonia	0.997	Coarse	Post	0.012764676	521.7631767	0.000782864
E4	4°„C	4°„C	4°„C	NONE	Ammonia	0.784	Coarse	Post	0.020275355	688.5819035	0.000942243
E5	3°„C	3°„C		NONE	Ammonia	0.421	Coarse	Post	0.039705861	654.5107009	0.001941279
E6	RU	0°„C	RU	RU	Ammonia	0.794	Coarse	Post	0.019879279	561.9354868	0.001132046
E7	4°„C	4°„C	4°„C	NONE	Ammonia	0.797	Coarse	Post	0.019761428	687.504701	0.000919798
E8	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.97	Coarse	Post	0.013622635	566.4816887	0.000769529
F1	RU	0°„C	RU	RU	Ammonia	0.813	Coarse	Post	0.01914029	561.6053939	0.001090604
F10	6°„C	6°„C		NONE	Ammonia	0.835	Coarse	Post	0.018305896	703.2513789	0.000832972
F11	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.807	Coarse	Post	0.019371772	568.2869897	0.001090816
F3	4°„C	4°„C	4°„C	NONE	Ammonia	0.898	Coarse	Post	0.016032822	687.689493	0.000746049
F4	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.846	Coarse	Post	0.017896907	502.7580609	0.001139119
F5	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.793	Coarse	Post	0.019918661	542.8869125	0.001174088
F6	5°„C	5°„C		NONE	Ammonia	0.466	Coarse	Post	0.036532336	716.9714533	0.001630518
F7	8°„C	8°„C		NONE	Ammonia	0.516	Coarse	Post	0.033347301	818.0384424	0.001304479
F8	2°„C	2°„C		NONE	No Ammonia	0.857	Coarse	Post	0.017493202	609.2640359	0.000918785
F9	RU	0°„C	RU	RU	No Ammonia	0.807	Coarse	Post	0.019371772	566.6371707	0.001093992
G1	2°„C	2°„C		NONE	No Ammonia	0.309	Coarse	Post	0.049371222	623.0917118	0.002535548
G11	5°„C	5°„C		NONE	Ammonia	0.836	Coarse	Post	0.018268493	720.1580488	0.000811755
G12	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	0.741	Coarse	Post	0.022038118	687.7497047	0.001025402
G2	1°„C	1°„C		NONE	Ammonia	0.792	Coarse	Post	0.019958094	590.9402444	0.001080751
G3	2°„C	2°„C		NONE	No Ammonia	0.77	Coarse	Post	0.020838434	621.083394	0.001073656
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.759	Coarse	Post	0.021288082	689.654402	0.000987768
G5	3°„C	3°„C		NONE	No Ammonia	0.711	Coarse	Post	0.023329624	655.4091225	0.001139056
G6	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.854	Coarse	Post	0.017602787	541.2893702	0.001040643
G8	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.902	Coarse	Post	0.015893933	555.7136347	0.00091523
H1	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.8655	Coarse	Post	0.017184782	552.322465	0.000995638
H10	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.837	Coarse	Post	0.018231135	550.0485948	0.001060627
H11	4°„C	4°„C	4°„C	NONE	No Ammonia	0.681	Coarse	Post	0.024676815	676.2974721	0.001167619
H2	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.82225	Coarse	Post	0.018786747	535.7892796	0.001122038
H3	8°„C	8°„C		NONE	No Ammonia	0.706	Coarse	Post	0.023550161	817.5208655	0.000921818
H4	4°„C	4°„C	4°„C	NONE	No Ammonia	0.748	Coarse	Post	0.021744294	688.2539508	0.001010989
H5	2°„C	2°„C		NONE	No Ammonia	0.83	Coarse	Post	0.018493584	617.1201987	0.000958962
H6	UR	0°„C	UR	UR	Ammonia	0.798	Coarse	Post	0.019722243	558.59067	0.001129829
H7	7°„C	7°„C		NONE	Ammonia	0.642	Coarse	Post	0.026519753	778.6621333	0.001089859
A1	4°„C	4°„C	4°„C	NONE	No Ammonia	1.047	Fine	Post	0.011235506	688.2917682	0.00052236
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.891	Fine	Post	0.016277374	690.5607143	0.00075428
A12	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.972	Fine	Post	0.013558268	571.7024932	0.000758899
A2	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.161	Fine	Post	0.008005731	536.7335952	0.000477301
A5	1°„C	1°„C		NONE	No Ammonia	1	Fine	Post	0.012670785	589.5273433	0.00068778
A8	5°„C	5°„C		NONE	No Ammonia	0.827	Fine	Post	0.01860674	571.8630313	0.001041186
A9	2°„C	2°„C		NONE	Ammonia	0.805	Fine	Post	0.019449316	491.2156696	0.001267016
B1	1°„C	1°„C		NONE	No Ammonia	0.949	Fine	Post	0.014306612	596.5805426	0.000767393
B10	8°„C	8°„C		NONE	No Ammonia	0.889	Fine	Post	0.016347598	786.8680325	0.000664817
B11	2°„C	2°„C		NONE	Ammonia	1.058	Fine	Post	0.010908899	621.953428	0.000561272
B12	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.893	Fine	Post	0.016207306	546.4831085	0.000949039
B2	UR	0°„C	UR	UR	Ammonia	1.114	Fine	Post	0.009297124	524.648602	0.000567061
B3	6°„C	6°„C		NONE	No Ammonia	1.018	Fine	Post	0.012113287	742.24955	0.00052223
B4	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.149	Fine	Post	0.00833041	567.113749	0.000470052
B5	RU	0°„C	RU	RU	No Ammonia	0.978	Fine	Post	0.01336596	557.7435207	0.000766859
B8	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.023	Fine	Post	0.011960176	448.3988604	0.000853538
B9	4°„C	4°„C	4°„C	NONE	No Ammonia	1.152	Fine	Post	0.008248923	543.9197722	0.000485302
C1	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.963	Fine	Post	0.013848968	553.2492177	0.000801026
C10	4°„C	4°„C	4°„C	NONE	Ammonia	0.888	Fine	Post	0.01638277	687.9237416	0.000762074
C11	7°„C	7°„C		NONE	No Ammonia	0.62	Fine	Post	0.027609403	787.2672959	0.001122238
C12	RU	0°„C	RU	RU	Ammonia	1.021	Fine	Post	0.01202133	569.2269491	0.000675798
C2	2°„C	2°„C		NONE	Ammonia	1.107	Fine	Post	0.009494108	621.913309	0.000488511
C3	4°„C	4°„C	4°„C	NONE	No Ammonia	0.936	Fine	Post	0.014737653	688.1489649	0.000685324
C4	8°„C	8°„C		NONE	Ammonia	0.704	Fine	Post	0.023638813	785.9408731	0.000962467
C5	2°„C	2°„C		NONE	Ammonia	1.095	Fine	Post	0.009834711	622.4863337	0.000505571
C6	RU	0°„C	RU	RU	No Ammonia	1.057	Fine	Post	0.01093845	555.7259722	0.000629862
C7	2°„C	2°„C		NONE	No Ammonia	1.096	Fine	Post	0.009806185	492.2699615	0.000637451
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	1.087	Fine	Post	0.010063859	546.0259381	0.000589795
C9	UR	0°„C	UR	UR	No Ammonia	0.905	Fine	Post	0.01579017	452.6442772	0.001116297
D1	RU	0°„C	RU	RU	No Ammonia	1.102	Fine	Post	0.009635575	575.1613241	0.00053609
D10	CONTROL	0°„C	CONTROL	NONE	Ammonia	0.935	Fine	Post	0.014771058	558.5367533	0.000846272
D11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	1.078	Fine	Post	0.010323676	689.3842741	0.000479207
D12	4°„C	4°„C	4°„C	NONE	No Ammonia	1.082	Fine	Post	0.010207935	687.472772	0.000475152
D2	4°„C	4°„C	4°„C	NONE	Ammonia	1.002	Fine	Post	0.012608347	686.6259892	0.000587608
D3	6°„C	6°„C		NONE	Ammonia	0.993	Fine	Post	0.012890304	753.3781184	0.00054752
D5	UR	0°„C	UR	UR	Ammonia	0.91	Fine	Post	0.015617993	551.6865593	0.000905905
